controle,ano,titulo,titulo_do,bairro_fato_original,bairro
41715231-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Taquara,Taquara
41715231-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Taquara,Taquara
79537431-2022,2022,Roubo Seguido de Morte Provocado por Projétil de Arma de Fogo,Latrocínio (Roubo seguido de morte),Grajau,Grajaú
18555831-2022,2022,Homicídio (outros),Homicídio doloso,Iraja,Irajá
22210042-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Ramos,Ramos
29343821-2022,2022,Homicídio (outros),Homicídio doloso,Pitangueiras,Pitangueiras
36043941-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Ramos,Ramos
92016691-2022,2022,Homicídio Provocado por Asfixia,Homicídio doloso,Santissimo,Santíssimo
33560101-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Rio comprido,Rio Comprido
33560101-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Rio comprido,Rio Comprido
57435901-2022,2022,Homicídio (outros),Homicídio doloso,Santa cruz,Santa Cruz
64332671-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Santissimo,Santíssimo
76833011-2022,2022,Homicídio (outros),Homicídio doloso,Costa barros,Costa Barros
95793991-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Realengo,Realengo
08596421-2022,2022,Homicídio (outros),Homicídio doloso,Caju,Caju
32024521-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Cascadura,Cascadura
69603021-2022,2022,Roubo Seguido de Morte Provocado por Projétil de Arma de Fogo,Latrocínio (Roubo seguido de morte),Pavuna,Pavuna
86876641-2022,2022,Homicídio Provocado por Emprego de Arma Branca,Homicídio doloso,Cidade nova,Cidade Nova
18792121-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Acari,Acari
19401161-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Pavuna,Pavuna
31668381-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Bonsucesso,Bonsucesso
61950941-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Coelho neto,Coelho Neto
63304091-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Sao conrado,São Conrado
70952881-2022,2022,Homicídio (outros),Homicídio doloso,Olaria,Olaria
25519931-2022,2022,Homicídio (outros),Homicídio doloso,Santa cruz,Santa Cruz
29575971-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Iraja,Irajá
09819201-2022,2022,Homicídio (outros),Homicídio doloso,Parque columbia,Parque Colúmbia
49470211-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Bangu,Bangu
06544251-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Anchieta,Anchieta
13460431-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Campo grande,Campo Grande
13460431-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Campo grande,Campo Grande
24749611-2022,2022,Homicídio Provocado por Emprego de Arma Branca,Homicídio doloso,Vila valqueire,Vila Valqueire
77396652-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Portuguesa,Portuguesa
92400891-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Madureira,Madureira
07419812-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Anchieta,Anchieta
07419812-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Anchieta,Anchieta
51190491-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Portuguesa,Portuguesa
78658811-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Realengo,Realengo
78791001-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Bangu,Bangu
14128401-2022,2022,Homicídio (outros),Homicídio doloso,Santa cruz,Santa Cruz
26015431-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Rocinha,Rocinha
37984611-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Inhauma,Inhaúma
67059321-2022,2022,Homicídio (outros),Homicídio doloso,Benfica,Benfica
84383911-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Campo grande,Campo Grande
85481841-2022,2022,Homicídio (outros),Homicídio doloso,Cidade nova,Cidade Nova
14854741-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Vicente de carvalho,Vicente de Carvalho
40992101-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Iraja,Irajá
69450481-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Taquara,Taquara
78560691-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Rio comprido,Rio Comprido
91268811-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Manguinhos,Manguinhos
94418161-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Delcastilho,Del Castilho
15545301-2022,2022,Lesão Corporal Seguida de Morte (outros),Lesão corporal seguida de morte,Santa cruz,Santa Cruz
17222721-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Bangu,Bangu
51820411-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Vicente de carvalho,Vicente de Carvalho
78203321-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Engenho de dentro,Engenho de Dentro
14288181-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Meier,Méier
14288181-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Meier,Méier
