controle,ano,titulo,titulo_do,bairro_fato_original,bairro
46579111-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Ricardo de albuquerque,Ricardo de Albuquerque
06410342-2019,2019,Homicídio Provocado por Emprego de Arma Branca,Homicídio doloso,Bangu,Bangu
34681261-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Rio das pedras,Itanhangá
35666771-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Bangu,Bangu
46085491-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Santo cristo,Santo Cristo
46085491-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Santo cristo,Santo Cristo
55975521-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Barros filho,Barros Filho
57316461-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Cidade universitaria,Cidade Universitária
02907651-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Praca seca,Praça Seca
02907651-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Praca seca,Praça Seca
25860581-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Cordovil,Cordovil
50714691-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Gardenia azul,Gardênia Azul
39648731-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Curicica,Curicica
53316921-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Vila isabel,Vila Isabel
58214921-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Campo grande,Campo Grande
84368991-2019,2019,Homicídio (outros),Homicídio doloso,Alto da boa vista,Alto da Boa Vista
02125291-2019,2019,Homicídio (outros),Homicídio doloso,Bangu,Bangu
97653401-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Bangu,Bangu
28145771-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Bangu,Bangu
81366231-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Marechal hermes,Marechal Hermes
19862821-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Olaria,Olaria
53353781-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Realengo,Realengo
58872791-2019,2019,Homicídio (outros),Homicídio doloso,Vicente de carvalho,Vicente de Carvalho
98938821-2019,2019,Homicídio (outros),Homicídio doloso,Engenho novo,Engenho Novo
41185911-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Costa barros,Costa Barros
71588691-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Pavuna,Pavuna
83298961-2019,2019,Roubo Seguido de Morte Provocado por Arma Branca,Latrocínio (Roubo seguido de morte),Ipanema,Ipanema
01404451-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Galeao,Galeão
52435571-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Ricardo de albuquerque,Ricardo de Albuquerque
66195611-2019,2019,Homicídio (outros),Homicídio doloso,Bangu,Bangu
92017371-2019,2019,Homicídio (outros),Homicídio doloso,Realengo,Realengo
01604771-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Campo grande,Campo Grande
12308681-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Recreio dos bandeirantes,Recreio dos Bandeirantes
58129071-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Jacarepagua,Jacarepaguá
01730961-2019,2019,Homicídio (outros),Homicídio doloso,Taquara,Taquara
34204711-2019,2019,Homicídio (outros),Homicídio doloso,Colegio,Colégio
06652931-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Rocha miranda,Rocha Miranda
41008671-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Guadalupe,Guadalupe
45092391-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Padre miguel,Padre Miguel
58620681-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Pavuna,Pavuna
74665751-2019,2019,Homicídio Provocado por Pedrada,Homicídio doloso,Coelho neto,Coelho Neto
02084981-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Complexo do alemao,Complexo do Alemão
06125901-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Vaz lobo,Vaz Lobo
42741691-2019,2019,Homicídio Provocado por Emprego de Arma Branca,Homicídio doloso,Jacarezinho,Jacarezinho
43562471-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Piedade,Piedade
47396671-2019,2019,Homicídio (outros),Homicídio doloso,Ilha do fundao,Cidade Universitária
50798321-2019,2019,Homicídio (outros),Homicídio doloso,Copacabana,Copacabana
52225851-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Bangu,Bangu
70787031-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Bangu,Bangu
34841541-2019,2019,Roubo Seguido de Morte Provocado por Projétil de Arma de Fogo,Latrocínio (Roubo seguido de morte),Rio comprido,Rio Comprido
15048131-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Campo grande,Campo Grande
61390061-2019,2019,Homicídio (outros),Homicídio doloso,Bangu,Bangu
05242841-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Mare,Maré
14340481-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Bras de pina,Brás de Pina
21640191-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Bangu,Bangu
44439641-2019,2019,Homicídio (outros),Homicídio doloso,Rio comprido,Rio Comprido
44439641-2019,2019,Homicídio (outros),Homicídio doloso,Rio comprido,Rio Comprido
51465341-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Costa barros,Costa Barros
73595541-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Comunidade da mare,Maré
96250471-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Comunidade furquim mendes,Vigário Geral
98020691-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Coelho neto,Coelho Neto
55413471-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Mare,Maré
24562961-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Bangu,Bangu
41573491-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Bangu,Bangu
52412051-2019,2019,Homicídio Provocado por Emprego de Arma Branca,Homicídio doloso,Campo grande,Campo Grande
67955291-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Inhauma,Inhaúma
85856621-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Guadalupe,Guadalupe
02842711-2019,2019,Homicídio Provocado por Paulada,Homicídio doloso,Marechal hermes,Marechal Hermes
52675022-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Cordovil,Cordovil
75574911-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Barra da tijuca,Barra da Tijuca
37463911-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Penha,Penha
42259171-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Jacare,Jacaré
68477151-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Barros filho,Barros Filho
81430251-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Recreio dos bandeirantes,Recreio dos Bandeirantes
81430251-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Recreio dos bandeirantes,Recreio dos Bandeirantes
02137001-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Cordovil,Cordovil
02137001-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Cordovil,Cordovil
17118291-2019,2019,Homicídio (outros),Homicídio doloso,Realengo,Realengo
50379551-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Engenho da rainha,Engenho da Rainha
54210761-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Parada de lucas,Parada de Lucas
55163881-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Pilares,Pilares
55762601-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Anil,Anil
58342381-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Engenho novo,Engenho Novo
04041141-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Lins de vasconcelos,Lins de Vasconcelos
23732961-2019,2019,Roubo Seguido de Morte Provocado por Projétil de Arma de Fogo,Latrocínio (Roubo seguido de morte),Oswaldo cruz,Oswaldo Cruz
13924541-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Ricardo de albuquerque,Ricardo de Albuquerque
49761351-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Cidade de deus,Cidade de Deus
75184601-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Jacarepagua,Jacarepaguá
36430981-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,- catumbi,Catumbi
45563181-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Quintino bocaiuva,Quintino Bocaiúva
45563181-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Quintino bocaiuva,Quintino Bocaiúva
19175101-2019,2019,Lesão Corporal Seguida de Morte (outros),Lesão corporal seguida de morte,Realengo,Realengo
34705091-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Costa barros,Costa Barros
39732011-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Pavuna,Pavuna
52846581-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Rocha,Rocha
96928591-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Recreio dos bandeirantes,Recreio dos Bandeirantes
08236831-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Bangu,Bangu
10053651-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Senador camara,Senador Camará
10053651-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Senador camara,Senador Camará
11737972-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Agua santa,Água Santa
11737972-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Agua santa,Água Santa
17075631-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Jacare,Jacaré
29013211-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Jacare,Jacaré
52373141-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Jacare,Jacaré
55839201-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Jacare,Jacaré
57430881-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Piedade,Piedade
75227391-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Jacare,Jacaré
76144361-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Jacare,Jacaré
00015641-2019,2019,Homicídio Provocado por Emprego de Arma Branca,Homicídio doloso,Mangueira,Mangueira
36598351-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Recreio dos bandeirantes,Recreio dos Bandeirantes
39208201-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Barra de guaratiba,Barra de Guaratiba
65916021-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Paciencia,Paciência
02971131-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Complexo do alemao,Complexo do Alemão
12667981-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Complexo do alemao,Complexo do Alemão
18827851-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,-engenho da rainha,Engenho da Rainha
37492872-2019,2019,Homicídio Provocado por Emprego de Arma Branca,Homicídio doloso,Guaratiba,Guaratiba
40766941-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Realengo,Realengo
76747291-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Vicente de carvalho,Vicente de Carvalho
00759031-2019,2019,Homicídio (outros),Homicídio doloso,Campo grande,Campo Grande
08272551-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Senador camara,Senador Camará
75206341-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Magalhaes bastos,Magalhães Bastos
79256901-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Santa teresa,Santa Teresa
79256901-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Santa teresa,Santa Teresa
08129951-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Acari,Acari
40820771-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Taquara,Taquara
46425361-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Fazendinha/inhauma,Inhaúma
21553581-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Recreio dos bandeirantes,Recreio dos Bandeirantes
32126621-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Relengo,Realengo
32126621-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Relengo,Realengo
38447691-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Rocha,Rocha
42789581-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Bangu,Bangu
93602291-2019,2019,Lesão Corporal Seguida de Morte (outros),Lesão corporal seguida de morte,Bangu,Bangu
99962691-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Cidade de deus,Cidade de Deus
28282331-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Realengo,Realengo
78995341-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Cidade de deus,Cidade de Deus
84987861-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Jardim carioca,Jardim Carioca
84987861-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Jardim carioca,Jardim Carioca
84987861-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Jardim carioca,Jardim Carioca
20487431-2019,2019,Homicídio (outros),Homicídio doloso,Bonsucesso,Bonsucesso
77152061-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Guadalupe,Guadalupe
98317931-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Pavuna,Pavuna
80698901-2019,2019,Roubo Seguido de Morte Provocado por Projétil de Arma de Fogo,Latrocínio (Roubo seguido de morte),Centro,Centro
99927221-2019,2019,Homicídio (outros),Homicídio doloso,Bonsucesso,Bonsucesso
03752951-2019,2019,Homicídio Provocado por Emprego de Arma Branca,Homicídio doloso,Taua,Tauá
77827541-2019,2019,Homicídio (outros),Homicídio doloso,Santa cruz,Santa Cruz
83386271-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Penha,Penha
91253561-2019,2019,Homicídio (outros),Homicídio doloso,Padre miguel,Padre Miguel
09641612-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Realengo,Realengo
20497521-2019,2019,Homicídio (outros),Homicídio doloso,Centro,Centro
22286091-2019,2019,Homicídio (outros),Homicídio doloso,Centro,Centro
45981261-2019,2019,Homicídio Provocado por Emprego de Arma Branca,Homicídio doloso,Cascadura,Cascadura
74153011-2019,2019,Lesão Corporal Seguida de Morte (outros),Lesão corporal seguida de morte,Engenho da rainha,Engenho da Rainha
75612421-2019,2019,Homicídio Provocado por Emprego de Arma Branca,Homicídio doloso,Botafogo,Botafogo
75612421-2019,2019,Homicídio Provocado por Emprego de Arma Branca,Homicídio doloso,Botafogo,Botafogo
01242641-2019,2019,Homicídio Provocado por Emprego de Arma Branca,Homicídio doloso,Centro,Centro
13109731-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Santissimo,Santíssimo
85245881-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Agua santa,Água Santa
85245881-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Agua santa,Água Santa
96179401-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Costa barros,Costa Barros
01254061-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Campo grande,Campo Grande
90380281-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Campo grande,Campo Grande
98895231-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Cordovil,Cordovil
99996741-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Taquara,Taquara
19305031-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Costa barros,Costa Barros
47317631-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Comunidade da coroa,Santa Teresa
21777321-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Madureira,Madureira
21777321-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Madureira,Madureira
88010031-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Pavuna,Pavuna
88010031-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Pavuna,Pavuna
28756661-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Pavuna,Pavuna
29111931-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Copacabana,Copacabana
67736291-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Taquara,Taquara
78572911-2019,2019,Homicídio (outros),Homicídio doloso,Ramos,Ramos
63546061-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Ipanema,Ipanema
71031691-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Pilares,Pilares
10654411-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Cidade de deus,Cidade de Deus
12647921-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Jacarepagua,Jacarepaguá
17364941-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Acari,Acari
35211231-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Guadalupe,Guadalupe
57221501-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Santissimo,Santíssimo
70990001-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Guadalupe,Guadalupe
78881321-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Praca seca,Praça Seca
99234641-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Iraja,Irajá
08216601-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Ricardo de albuquerque,Ricardo de Albuquerque
29175961-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Anchieta,Anchieta
37849301-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Manguinhos,Manguinhos
42499451-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Barros filho,Barros Filho
43810521-2019,2019,Lesão Corporal Seguida de Morte (outros),Lesão corporal seguida de morte,Penha,Penha
67155401-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Campo grande,Campo Grande
52643711-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Lins de vasconcelos,Lins de Vasconcelos
75644351-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Deodoro,Deodoro
07504041-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Padre miguel,Padre Miguel
25316711-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Benfica,Benfica
58082131-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Inhauma,Inhaúma
58082131-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Inhauma,Inhaúma
49807721-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Pavuna,Pavuna
53120791-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Manguinhos,Manguinhos
68702631-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Pavuna,Pavuna
24454981-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Bangu,Bangu
44132451-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Manguinhos,Manguinhos
48452791-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Manguinhos,Manguinhos
21506522-2019,2019,Homicídio Provocado por Asfixia,Homicídio doloso,Humaita,Humaitá
42573741-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Iraja,Irajá
56929061-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Olaria,Olaria
80654871-2019,2019,Homicídio Provocado por Emprego de Arma Branca,Homicídio doloso,Caju,Caju
14392131-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Padre miguel,Padre Miguel
57282301-2019,2019,Homicídio (outros),Homicídio doloso,Pavuna,Pavuna
57282301-2019,2019,Homicídio (outros),Homicídio doloso,Pavuna,Pavuna
85277141-2019,2019,Homicídio (outros),Homicídio doloso,Agua santa,Água Santa
90997451-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Campo grande,Campo Grande
98911611-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Jacarepagua,Jacarepaguá
36185921-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Jacarepagua,Jacarepaguá
53765861-2019,2019,Homicídio (outros),Homicídio doloso,Praca da bandeira,Praça da Bandeira
54313071-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Cacuia,Cacuia
80620971-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Realengo,Realengo
13502291-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Cascadura,Cascadura
15019051-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Honorio gurgel,Honório Gurgel
38832191-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Tomas coelho,Tomás Coelho
41525731-2019,2019,Homicídio (outros),Homicídio doloso,Santa cruz,Santa Cruz
51011651-2019,2019,Homicídio Provocado por Emprego de Arma Branca,Homicídio doloso,Cidade nova,Cidade Nova
53339491-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Realengo,Realengo
54736911-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Jacare,Jacaré
00807151-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Jacarepagua,Jacarepaguá
00807151-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Jacarepagua,Jacarepaguá
39050781-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Caju,Caju
66755631-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Manguinhos,Manguinhos
06520351-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Jacare,Jacaré
27177931-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Realengo,Realengo
75760331-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Leblon,Leblon
94451751-2019,2019,Homicídio (outros),Homicídio doloso,Costa barros,Costa Barros
43344411-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Rio das pedras,Itanhangá
79563461-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Santa teresa,Santa Teresa
86446291-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Piedade,Piedade
88769311-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Barros filho,Barros Filho
89837021-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Campo grande,Campo Grande
01611201-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Ramos,Ramos
03030381-2019,2019,Homicídio (outros),Homicídio doloso,Bangu,Bangu
03030381-2019,2019,Homicídio (outros),Homicídio doloso,Bangu,Bangu
32810171-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Alto da boa vista,Alto da Boa Vista
22867931-2019,2019,Homicídio Provocado por Paulada,Homicídio doloso,Paciencia,Paciência
47278591-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Coelho neto,Coelho Neto
73767441-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Deodoro,Deodoro
74599261-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Mare,Maré
50776981-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Vargem grande,Vargem Grande
06065242-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Cidade de deus,Cidade de Deus
17575631-2019,2019,Homicídio (outros),Homicídio doloso,Costa barros,Costa Barros
29664501-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Bras de pina,Brás de Pina
30393461-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Guadalupe,Guadalupe
68993171-2019,2019,Homicídio (outros),Homicídio doloso,Mare,Maré
80234721-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Penha circular,Penha Circular
23778301-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Cidade de deus,Cidade de Deus
37620091-2019,2019,Homicídio Provocado por Emprego de Arma Branca,Homicídio doloso,Ramos,Ramos
49119871-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Jacarepagua,Jacarepaguá
