"bairro";"ano";"n_mvi";"bairro_id";"periodo";"pct_area_dominacao_ada";"pct_area_dominacao_cv";"pct_area_dominacao_milicia";"pct_area_dominacao_tcp";"ips_2022_agua_saneamento";"ips_2022_pessoas_vivendo_em_favelas_nao_urbanizadas";"censo_2010_populacao_total";"censo_2010_rendimento_domiciliar_medio_brl";"fc_total_tiroteios";"fc_acao_policial"
"Padre Miguel";"2022";"8";"51";"4";"21,660330999999999";"0,44815600000000";"10,0585009999999997";"0,00000000000000000";"97,8097682100136";"0,2662";"64228";"1925,24";"11";"1"
"Padre Miguel";"2023";"10";"51";"5";"21,660330999999999";"0,44815600000000";"10,0585009999999997";"0,00000000000000000";"97,8097682100136";"0,2662";"64228";"1925,24";"22";"6"
"Padre Miguel";"2024";"5";"51";"6";"19,808198999999998";"0,44815600000000";"11,7396960000000004";"0,00000000000000000";"97,8097682100136";"0,2662";"64228";"1925,24";"15";"2"
"Bento Ribeiro";"2019";"6";"52";"1";"0,000000000000000";"0,27289700000000";"1,2444280000000001";"0,00000000000000000";"97,8286928290102";"0,0190";"43707";"2545,85";"8";"1"
"Bento Ribeiro";"2020";"5";"52";"2";"0,000000000000000";"0,27289700000000";"18,2706039999999987";"0,00000000000000000";"97,8286928290102";"0,0190";"43707";"2545,85";"5";"1"
"Bento Ribeiro";"2021";"2";"52";"3";"0,000000000000000";"0,27289700000000";"21,7260540000000013";"0,00000000000000000";"97,8286928290102";"0,0190";"43707";"2545,85";"9";"0"
"Bento Ribeiro";"2022";"2";"52";"4";"0,000000000000000";"0,27289700000000";"10,4073209999999996";"0,00000000000000000";"97,8286928290102";"0,0190";"43707";"2545,85";"7";"0"
"Bento Ribeiro";"2023";"3";"52";"5";"0,000000000000000";"0,27289700000000";"12,5742539999999980";"0,00000000000000000";"97,8286928290102";"0,0190";"43707";"2545,85";"7";"0"
"Bento Ribeiro";"2024";"3";"52";"6";"0,000000000000000";"0,27289700000000";"5,7160140000000004";"0,00000000000000000";"97,8286928290102";"0,0190";"43707";"2545,85";"1";"0"
"Turiaçú";"2019";"1";"53";"1";"0,000000000000000";"30,56795900000000";"0,2137010000000000";"0,00000000000000000";"96,2032276781992";"0,0000";"17246";"2084,27";"4";"2"
